Outcome Variable,Exposure Variable,Interactive Variable,Current Lag,Confounding Variables,Equation 1,Equation 2,QAIC of Equation 1,QAIC of Equation 2
All,SPMout,suhiout,1,"['RHave', 'doy', 'ad']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(ad)",13811.0,13813.0
All,SPMout,suhiout,1,"['RHave', 'doy', 'holiday']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(holiday)",13812.0,13814.0
All,SPMout,suhiout,1,"['RHave', 'doy', 'Tave_ma20']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + Tave_ma20",13582.0,13585.0
All,SPMout,suhiout,1,"['RHave', 'ad', 'holiday']",All ~ SPMout_1 + RHave + factor(ad) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(ad) + factor(holiday),15156.0,15102.0
All,SPMout,suhiout,1,"['RHave', 'ad', 'Tave_ma20']",All ~ SPMout_1 + RHave + factor(ad) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(ad) + Tave_ma20,14852.0,14819.0
All,SPMout,suhiout,1,"['RHave', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + RHave + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(holiday) + Tave_ma20,14853.0,14821.0
All,SPMout,suhiout,1,"['dow', 'doy', 'ad']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(ad)",13823.0,13825.0
All,SPMout,suhiout,1,"['dow', 'doy', 'holiday']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday)",13824.0,13826.0
All,SPMout,suhiout,1,"['dow', 'doy', 'Tave_ma20']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + Tave_ma20",13581.0,13584.0
All,SPMout,suhiout,1,"['dow', 'ad', 'holiday']",All ~ SPMout_1 + factor(dow) + factor(ad) + factor(holiday),All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(ad) + factor(holiday),15203.0,15155.0
All,SPMout,suhiout,1,"['dow', 'ad', 'Tave_ma20']",All ~ SPMout_1 + factor(dow) + factor(ad) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(ad) + Tave_ma20,14880.0,14852.0
All,SPMout,suhiout,1,"['dow', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + factor(dow) + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + factor(holiday) + Tave_ma20,14879.0,14853.0
All,SPMout,suhiout,1,"['doy', 'ad', 'holiday']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)",13832.0,13835.0
All,SPMout,suhiout,1,"['doy', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20",13589.0,13592.0
All,SPMout,suhiout,1,"['doy', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20",13590.0,13592.0
All,SPMout,suhiout,1,"['ad', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + factor(ad) + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(ad) + factor(holiday) + Tave_ma20,14880.0,14853.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year)",13806.0,13809.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad)",15148.0,15082.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(holiday)",15149.0,15084.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + Tave_ma20",14838.0,14802.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad)",13815.0,13818.0
